DATAFLOW,LAST UPDATE,freq,c_resid,unit,nace_r2,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITC4,2017,16557728,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITC4,2018,16757628,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITC4,2019,17509461,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITC4,2020,5856210,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITC4,2021,8866449,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITF1,2012,1578410,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITF1,2013,1511212,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITF1,2014,1411435,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITF1,2015,1522087,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITF1,2016,1526452,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITF1,2017,1548653,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITF1,2018,1643087,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITF1,2019,1643166,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITF1,2020,1069867,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITF1,2021,1330887,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITF2,2012,178005,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITF2,2013,147881,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITF2,2014,147109,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITF2,2015,149202,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITF2,2016,136948,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITF2,2017,131050,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITF2,2018,138570,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITF2,2019,136757,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITF2,2020,90084,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITF2,2021,129914,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITF3,2012,4597691,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITF3,2013,4360218,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITF3,2014,4632876,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITF3,2015,5258079,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITF3,2016,5492496,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITF3,2017,5641166,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITF3,2018,6234863,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITF3,2019,6279795,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITF3,2020,2214180,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITF3,2021,3257965,
